Jahr,total  #1,1 Zimmer,2 Zimmer,3 Zimmer,4 Zimmer,5 Zimmer,6 Zimmer,7 Zimmer,8 u. mehr Zimmer
1930,75298,1094,9384,31807,20831,7069,2544,1071,1498
1931,79665,1259,10263,34195,21627,7044,2588,1082,1607
1932,84210,1453,11578,36652,22142,7000,2605,1077,1703
1933,86179,1600,12392,37394,22359,6995,2616,1078,1745
1934,88877,1803,13566,38460,22510,7021,2632,1081,1804
1935,90636,1983,14371,39156,22555,7000,2645,1084,1842
1936,91196,2025,14601,39406,22596,6988,2645,1074,1861
1937,92109,2115,14966,39881,22587,6949,2639,1083,1889
1938,93725,2280,15678,40603,22610,6906,2646,1086,1916
1939,96232,2613,16661,41761,22685,6839,2637,1080,1956
1940,97284,2714,17117,42212,22751,6804,2629,1079,1978
1941,98333,2873,17623,42602,22803,6752,2615,1072,1993
1942,99842,3183,18316,43025,22917,6706,2634,1067,1994
1943,101379,3395,18881,43533,23168,6694,2652,1058,1998
1944,103276,3548,19248,44329,23701,6735,2655,1058,2002
1945,105203,3645,19483,45276,24277,6788,2665,1065,2004
1946,107172,3713,19713,46185,24938,6878,2671,1067,2007
1947,108833,3757,19889,46946,25500,6976,2688,1069,2008
1948,111447,3782,20102,48337,26317,7113,2712,1075,2009
1949,113492,3819,20321,49367,26954,7207,2730,1081,2013
1950,115874,3876,20704,50683,27466,7247,2775,1097,2026
1951,119812,4112,21516,52733,28263,7283,2789,1094,2022
1952,123958,4727,22683,54444,28872,7329,2794,1097,2012
1953,127107,5173,23781,55615,29284,7365,2796,1087,2006
1954,130426,5852,24888,56966,29474,7359,2797,1093,1997
1955,133095,6378,25630,58099,29764,7342,2789,1097,1996
1956,134823,6689,26026,58776,30147,7342,2764,1116,1963
1957,137087,7038,26617,59736,30535,7320,2755,1129,1957
1958,139630,7568,27244,60724,30921,7343,2767,1120,1943
1959,142087,7950,27844,61854,31318,7329,2739,1122,1931
1960,144659,8484,28447,62860,31756,7352,2723,1120,1917
1961,146427,8971,29005,63373,31961,7376,2717,1124,1900
1962,147965,9452,29372,63897,32115,7382,2726,1130,1891
1963,149171,9931,29599,64334,32184,7397,2728,1118,1880
1964,150813,10280,29975,64957,32453,7423,2745,1108,1872
1965,152568,10630,30354,65594,32761,7504,2743,1108,1874
1966,154481,11369,30854,66152,32856,7529,2740,1114,1867
1967,155980,11861,31262,66582,33013,7548,2744,1112,1858
1968,157853,12537,31678,67153,33207,7575,2755,1103,1845
1969,159776,13214,32052,67744,33477,7602,2743,1110,1834
1970,156827,13246,31695,66568,32670,7289,2632,1005,1722
1971,157678,13732,32063,66481,32832,7289,2609,988,1684
1972,159280,14482,32432,66731,32993,7328,2639,991,1684
1973,160768,15037,32788,67015,33268,7351,2635,992,1682
1974,162235,15524,33305,67305,33433,7388,2615,997,1668
1975,163095,15910,33571,67462,33515,7390,2595,1000,1652
1976,164990,16686,34143,67895,33650,7388,2589,1000,1639
1977 #2,166715,17348,34686,68026,33927,7593,5135,...,...
1978,167258,17443,34963,68080,34066,7594,5112,...,...
1979,168109,17803,35324,68139,34147,7597,5099,...,...
1980,169310,18094,35717,68465,34328,7620,5086,...,...
1981,170543,17925,36103,68874,34851,7732,5058,...,...
1982,172035,18036,36491,69342,35230,7892,5044,...,...
1983,172611,18036,36691,69429,35376,7947,5132,...,...
1984,173517,18009,37118,69671,35567,8037,5115,...,...
1985,174858,18221,37599,69957,35783,8168,5130,...,...
1986,175858,18244,37971,70250,35989,8289,5115,...,...
1987,176492,18252,38252,70479,36105,8301,5103,...,...
1988,177060,18296,38476,70638,36202,8349,5099,...,...
1989,177663,18354,38621,70896,36338,8373,5081,...,...
1990,177974,18349,38797,70949,36367,8426,5086,...,...
1991,178982,18402,39012,71289,36612,8542,5125,...,...
1992,179377,18411,39156,71406,36718,8530,5156,...,...
1993 #3,190244,27960,39558,71899,37077,8648,4731,177,194
1994,191643,28352,39891,72103,37366,8793,4493,302,343
1995,192710,28641,40190,72350,37523,8864,3372,706,1064
1996,193923,28820,40615,72595,37822,8930,2940,950,1251
1997,194374,28655,40816,72754,37997,9013,2952,964,1223
1998,195133,28606,40966,72979,38302,9089,2996,969,1226
1999,195927,28562,41161,73246,38541,9191,3031,978,1217
2000,197199,28477,41337,73550,39103,9448,3088,983,1213
2001,198200,28366,41559,73865,39424,9643,3132,991,1220
2002,198912,28236,41723,73884,39758,9928,3169,996,1218
2003,200590,27042,41917,74086,41271,10882,3308,1058,1026
2004,201166,26998,42009,74166,41487,11071,3343,1057,1035
2005,202118,26894,42195,74386,41788,11372,3373,1077,1033
2006,203839,26813,42437,75007,42366,11631,3454,1088,1043
2007,205618,26673,42682,75406,43165,12018,3530,1104,1040
2008,206790,26594,43002,75485,43727,12232,3563,1124,1063
2009,207581,26538,43248,75659,44026,12354,3564,1129,1063
2010,208089,26312,43476,75851,44181,12474,3607,1140,1048