Datum; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Heubeeribüel; Zürich Heubeeribüel
; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Heubeeribüel; Zch_Heubeeribüel
; Ozon; Stickstoffdioxid; Feinstaub PM10; Lufttemperatur; Luftdruck; Windrichtung; Windgeschwindigkeit vektoriell; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid
; O3; NO2; PM10; T; p; WD; WVv; O3; NO2; PM10; O3; NO2; PM10; O3; NO2
; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1
; µg/m3; µg/m3; µg/m3; °C; hPa; °; m/s; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3
11.06.2016 17:00; 73.68; 10.43; 2.83; 19.15; 961.80; 240.92; 3.16; 75.14; 9.37; -2.11; 60.10; 30.36; 10.43; 76.00; 5.71
11.06.2016 18:00; 72.57; 6.36; 8.35; 18.34; 962.18; 244.72; 3.46; 72.65; 7.44; 1.44; 48.62; 40.30; 20.04; 74.06; 4.21
11.06.2016 19:00; 67.80; 7.43; 9.54; 17.66; 962.22; 245.80; 3.31; 69.60; 5.61; 1.37; 46.89; 34.56; 7.40; 70.38; 4.12
11.06.2016 20:00; 63.96; 7.57; 2.68; 17.45; 962.36; 247.51; 2.47; 66.95; 5.64; 3.23; 47.19; 24.65; 4.85; 67.36; 4.40
11.06.2016 21:00; 60.29; 9.25; -0.39; 17.41; 962.73; 225.85; 1.71; 61.63; 8.10; 1.76; 44.43; 30.47; -0.14; 64.01; 4.80
11.06.2016 22:00; 54.73; 13.56; 3.75; 17.27; 962.81; 230.30; 1.62; 55.71; 12.46; 1.89; 30.89; 48.62; 7.39; 60.97; 5.78
11.06.2016 23:00; 47.61; 16.51; 3.04; 16.97; 962.66; 246.92; 0.68; 50.65; 13.30; 0.59; 31.01; 33.59; 7.90; 53.46; 7.54
12.06.2016 00:00; 45.17; 13.61; 4.54; 16.54; 962.83; 275.32; 0.81; 44.76; 17.64; 1.26; 34.44; 25.92; 19.96; 49.20; 7.10
12.06.2016 01:00; 51.36; 12.22; 5.49; 15.49; 962.64; 243.92; 0.60; 46.80; 19.04; -1.77; 36.56; 23.05; 7.06; 57.50; 5.32
12.06.2016 02:00; 50.43; 15.62; -0.83; 15.06; 962.30; 274.19; 0.56; 60.76; 8.53; -0.41; 43.53; 18.95; 6.08; 56.07; 4.95
12.06.2016 03:00; 47.74; 10.03; 4.20; 14.94; 962.03; 245.24; 0.66; 46.39; 16.16; 7.10; 39.26; 14.74; 6.15; 45.26; 7.09
12.06.2016 04:00; 49.99; 6.98; 1.60; 15.62; 962.03; 235.73; 1.85; 51.05; 6.93; 7.82; 36.49; 15.71; 4.70; 47.80; 4.03
12.06.2016 05:00; 48.41; 5.27; 5.17; 15.70; 962.23; 252.50; 1.49; 50.39; 8.68; 5.09; 31.25; 14.52; 7.32; 50.43; 4.93
12.06.2016 06:00; 47.92; 5.74; 8.22; 16.11; 962.10; 241.19; 0.92; 52.99; 6.04; 11.40; 33.97; 14.90; 16.01; 51.71; 3.03
12.06.2016 07:00; 43.40; 5.72; 1.31; 16.42; 962.00; 303.21; 0.88; 52.68; 11.55; 17.99; 35.63; 13.07; -4.20; 52.36; 3.59
12.06.2016 08:00; 58.32; 3.94; 9.42; 17.42; 961.98; 253.29; 3.10; 58.50; 7.03; 10.78; 43.12; 13.38; 14.74; 59.26; 2.97
12.06.2016 09:00; 58.89; 5.05; 8.62; 17.37; 961.86; 258.80; 2.66; 57.07; 11.97; 0.28; 50.61; 14.32; 8.62; 61.50; 2.96
12.06.2016 10:00; 62.89; 6.11; 6.41; 16.55; 962.04; 268.23; 2.81; 58.44; 13.84; -7.51; 53.46; 15.28; 8.41; 62.92; 4.09
12.06.2016 11:00; 66.78; 5.15; 5.04; 16.49; 962.12; 268.45; 2.75; 62.15; 14.32; 6.88; 54.94; 16.62; 2.93; 67.81; 3.22
12.06.2016 12:00; 62.08; 6.50; 3.42; 16.69; 962.17; 251.58; 2.62; 61.71; 9.35; 2.23; 46.71; 24.25; 10.55; 63.81; 3.75
12.06.2016 13:00; 62.08; 7.41; 7.51; 16.72; 962.08; 268.28; 2.09; 60.05; 11.68; 4.25; 51.14; 22.25; 10.66; 63.90; 4.30
12.06.2016 14:00; 64.20; 5.34; 3.67; 17.01; 961.83; 253.44; 2.81; 60.84; 10.86; 17.29; 43.54; 34.02; -0.53; 63.59; 4.00
12.06.2016 15:00; 67.57; 5.58; 5.33; 17.93; 961.49; 260.86; 3.00; 62.14; 11.78; 11.62; 52.71; 28.16; 3.49; 63.36; 3.77
12.06.2016 16:00; 64.61; 6.34; -0.20; 17.98; 961.30; 251.34; 3.35; 64.95; 6.91; -2.40; 52.74; 20.66; 8.73; 62.44; 4.86
12.06.2016 17:00; 59.24; 10.70; 1.87; 17.07; 961.19; 246.49; 1.96; 62.60; 7.22; -16.01; 41.51; 27.71; 7.84; 61.89; 5.66
12.06.2016 18:00; 53.99; 12.17; 5.16; 17.17; 961.16; 244.42; 1.76; 53.40; 14.52; 4.11; 36.78; 26.94; 7.17; 53.52; 7.20
12.06.2016 19:00; 45.36; 14.84; 7.55; 16.22; 961.26; 252.77; 1.26; 41.80; 20.85; 1.45; 26.84; 35.90; 8.72; 48.45; 8.55
12.06.2016 20:00; 47.50; 11.27; 8.49; 15.63; 961.33; 257.07; 1.29; 43.71; 16.28; 1.17; 27.90; 26.63; 7.66; 42.29; 9.22
12.06.2016 21:00; 38.92; 18.04; 2.15; 15.45; 961.54; 183.04; 0.53; 37.69; 27.90; 19.59; 20.62; 27.15; 8.55; 42.28; 8.66
12.06.2016 22:00; 41.08; 17.16; 1.96; 15.45; 961.18; 206.37; 0.24; 56.08; 15.49; 6.62; 14.34; 41.26; 5.81; 50.05; 6.20
12.06.2016 23:00; 39.21; 16.58; 3.92; 15.09; 960.77; 310.61; 0.35; 53.97; 17.19; -0.74; 26.38; 21.13; 6.11; 53.86; 5.77
13.06.2016 00:00; 50.12; 9.84; 7.65; 15.04; 960.14; 221.86; 1.22; 66.43; 5.37; 7.64; 21.72; 25.17; 7.48; 57.92; 4.42
13.06.2016 01:00; 57.75; 6.10; 7.96; 14.98; 959.85; 218.75; 1.20; 58.60; 9.01; 5.15; 34.44; 16.66; 3.26; 58.53; 2.81
13.06.2016 02:00; 52.51; 5.77; -0.32; 14.48; 959.30; 179.74; 0.80; 54.68; 11.08; 4.20; 36.34; 15.92; 6.88; 54.02; 2.96
13.06.2016 03:00; 54.48; 4.67; 4.37; 14.59; 958.53; 169.31; 1.72; 47.29; 21.31; 6.25; 14.77; 39.63; -0.85; 57.67; 2.29
13.06.2016 04:00; 54.48; 9.51; 4.65; 14.62; 958.29; 206.12; 1.98; 51.86; 15.45; 4.29; 16.72; 46.10; 10.78; 54.64; 4.06
13.06.2016 05:00; 53.12; 13.54; 2.53; 14.28; 958.17; 237.07; 2.52; 51.10; 20.75; 5.85; 9.17; 69.51; 9.78; 52.82; 7.57
13.06.2016 06:00; 44.40; 23.38; 1.58; 14.39; 957.95; 236.11; 2.17; 46.73; 25.03; 5.07; 12.27; 69.76; 17.81; 46.51; 12.79
13.06.2016 07:00; 36.24; 31.75; 5.22; 14.15; 957.67; 197.30; 3.03; 33.08; 36.87; 4.94; 9.48; 85.19; 15.60; 41.36; 19.44
13.06.2016 08:00; 41.46; 25.69; 2.32; 14.75; 957.48; 210.53; 2.49; 46.64; 24.12; 9.85; 16.83; 63.23; 7.21; 45.66; 14.45
13.06.2016 09:00; 40.02; 23.10; 1.63; 15.37; 957.30; 206.41; 3.08; 42.07; 22.14; -3.90; 13.22; 67.65; 12.61; 43.11; 14.42
13.06.2016 10:00; 38.92; 25.33; 7.57; 15.24; 957.08; 201.21; 2.79; 37.44; 28.16; 4.90; 14.34; 66.20; 7.69; 46.98; 10.31
13.06.2016 11:00; 48.85; 15.80; 2.68; 16.25; 956.66; 208.55; 2.88; 50.31; 15.64; 9.19; 20.86; 58.59; 7.08; 50.87; 8.20
13.06.2016 12:00; 48.52; 15.15; 11.98; 15.55; 956.55; 244.37; 2.95; 49.58; 18.72; -16.35; 25.68; 42.86; 14.62; 51.05; 10.94
13.06.2016 13:00; 48.59; 14.40; 4.12; 15.65; 956.05; 245.27; 2.41; 50.64; 16.93; 7.65; 31.92; 36.83; 2.47; 48.79; 12.88
13.06.2016 14:00; 57.50; 8.02; -18.05; 18.19; 955.22; 248.02; 2.85; 56.05; 16.18; 43.65; 30.79; 45.84; 1.16; 55.68; 7.06
13.06.2016 15:00; 46.54; 16.82; 40.24; 17.26; 955.02; 306.15; 2.23; 31.50; 51.23; -11.71; 22.59; 46.43; 23.55; 49.61; 10.88
13.06.2016 16:00; 43.16; 20.59; -1.92; 18.00; 954.57; 297.16; 1.82; 38.73; 43.03; -0.60; 24.49; 42.45; 6.19; 52.60; 8.91
13.06.2016 17:00; 46.14; 12.27; 10.20; 16.77; 954.75; 304.87; 2.39; 31.31; 46.88; 11.31; 28.68; 32.14; 14.70; 48.37; 7.77
13.06.2016 18:00; 45.38; 12.02; 6.05; 15.96; 954.96; 302.11; 2.21; 29.72; 42.26; 8.36; 25.65; 31.58; 19.65; 47.06; 8.81
13.06.2016 19:00; 46.75; 12.78; 4.28; 14.74; 955.27; 310.88; 1.99; 31.40; 41.82; -7.64; 30.40; 30.20; 12.90; 51.67; 7.58
13.06.2016 20:00; 40.41; 21.90; -0.58; 14.45; 955.48; 336.19; 0.98; 33.71; 36.04; 0.07; 27.86; 28.77; 3.81; 50.97; 8.88
13.06.2016 21:00; 43.49; 15.74; -1.57; 13.97; 955.94; 308.84; 0.81; 33.77; 35.36; 1.35; 29.52; 25.92; 12.31; 49.05; 9.07
13.06.2016 22:00; 39.90; 15.80; 1.13; 13.84; 955.84; 180.58; 0.84; 35.73; 24.28; 2.46; 23.65; 34.25; 3.17; 42.36; 8.85
13.06.2016 23:00; 42.48; 12.27; -0.28; 14.00; 955.80; 146.66; 0.17; 39.21; 23.59; 2.38; 31.42; 16.93; 6.82; 48.19; 4.50
14.06.2016 00:00; 43.45; 9.31; 11.11; 13.95; 955.63; 216.22; 0.82; 36.84; 20.27; 1.85; 25.67; 19.99; 5.16; 44.73; 4.82
14.06.2016 01:00; 40.91; 9.09; 4.27; 13.97; 955.43; 196.37; 0.39; 39.79; 14.30; 3.87; 26.48; 15.97; 4.47; 42.76; 4.99
14.06.2016 02:00; 42.86; 6.16; -0.52; 14.08; 955.28; 214.99; 0.94; 37.63; 15.02; 3.13; 28.70; 14.75; 2.67; 43.43; 3.77
14.06.2016 03:00; 45.55; 6.20; 1.23; 14.06; 955.07; 198.68; 1.54; 40.31; 11.96; -0.03; 17.34; 30.13; 2.25; 43.07; 3.36
14.06.2016 04:00; 45.41; 8.94; 2.67; 13.99; 954.86; 161.98; 1.70; 33.03; 25.78; 2.64; 17.91; 41.65; 3.94; 47.77; 3.18
14.06.2016 05:00; 36.46; 26.76; 1.37; 14.16; 954.75; 217.94; 0.80; 46.68; 22.28; 3.11; 9.25; 62.11; 6.96; 43.10; 11.26
14.06.2016 06:00; 34.41; 37.15; 9.23; 14.07; 954.63; 170.17; 2.51; 33.27; 41.24; 3.50; 15.16; 77.17; 17.85; 45.71; 14.68
14.06.2016 07:00; 35.88; 37.73; 4.58; 14.67; 954.24; 173.46; 2.06; 31.15; 43.40; 9.07; 17.03; 77.37; 5.30; 49.19; 13.91
14.06.2016 08:00; 47.23; 24.66; -4.68; 15.68; 953.98; 175.04; 2.05; 43.63; 30.68; 23.64; 18.23; 71.71; 3.10; 57.88; 7.60
14.06.2016 09:00; 47.34; 28.32; 11.87; 16.62; 953.75; 178.79; 1.86; 46.85; 31.63; 22.05; 23.07; 59.09; 9.02; 56.50; 7.37
14.06.2016 10:00; NaN; 21.28; 7.24; 15.93; 953.78; 245.88; 2.04; 42.42; 29.30; -23.49; 20.27; 54.33; 17.44; NaN; 12.87
14.06.2016 11:00; NaN; 16.42; 2.61; 16.00; 953.79; 228.91; 2.24; 44.75; 18.81; 15.66; 27.76; 38.76; 0.19; 42.69; 8.79
14.06.2016 12:00; 44.64; 12.71; 4.41; 16.43; 953.59; 236.31; 3.43; 47.84; 16.83; 0.08; 23.32; 47.98; 7.31; 44.26; 7.11
14.06.2016 13:00; 44.04; 12.90; 2.04; 17.32; 953.23; 239.66; 2.64; 44.13; 21.02; 20.92; 24.88; NaN; 8.27; 44.23; 9.41
14.06.2016 14:00; 47.60; 10.14; 10.81; 17.81; 953.31; 265.70; 3.37; 39.95; 32.46; -1.50; 34.68; 30.66; 8.22; 47.42; 8.06
14.06.2016 15:00; 39.52; 15.40; 4.17; 17.38; 953.53; 322.67; 2.96; 30.30; 45.92; 7.61; 27.96; 34.27; 4.68; 42.97; 10.37
14.06.2016 16:00; 45.22; 11.73; 3.62; 16.96; 953.54; 304.55; 2.47; 34.06; 47.03; 11.27; 30.81; 36.48; 9.06; 48.74; 5.39
14.06.2016 17:00; 43.05; 12.00; 2.93; 16.35; 953.60; 299.72; 2.42; 31.47; 45.14; 1.69; 31.14; 31.32; 10.25; 46.67; 6.27
14.06.2016 18:00; 43.09; 11.11; 5.12; 15.77; 953.66; 295.39; 1.55; 30.17; 39.97; 5.75; 28.41; 30.75; 15.60; 44.65; 6.92
14.06.2016 19:00; 38.46; 16.56; 1.60; 15.58; 953.75; 284.63; 0.76; 34.41; 29.28; 1.69; 20.88; 34.40; 6.50; 39.22; 10.47
14.06.2016 20:00; 32.86; 20.56; 3.85; 15.29; 953.96; 208.91; 0.72; 24.92; 28.76; -2.40; 17.25; 33.31; 4.44; 35.75; 9.38
14.06.2016 21:00; 35.74; 15.02; -0.83; 15.24; 954.38; 148.45; 1.80; 24.11; 24.46; -0.28; 15.06; 33.69; 1.03; 41.46; 7.34
14.06.2016 22:00; 41.89; 11.73; 5.43; 15.04; 954.18; 152.02; 1.73; 31.96; 20.09; 2.33; 22.14; 33.09; 7.57; 45.86; 5.93
14.06.2016 23:00; 40.66; 9.11; 3.65; 14.88; 954.18; 161.91; 2.13; 29.89; 19.44; 5.07; 29.18; 24.20; 5.57; 45.74; 4.72
